snapped_at,price,market_cap,total_volume
2019-06-29 00:00:00 UTC,1.9959273028916897,9218437.472383998,1544873.7798697317
2019-06-30 00:00:00 UTC,2.0881333997747618,9642670.411608974,364705.9025692985
2019-07-01 00:00:00 UTC,1.9273043941876036,9195159.827644268,299709.38063916116
2019-07-02 00:00:00 UTC,1.89231812046512,9241389.768726692,102402.6383486697
2019-07-03 00:00:00 UTC,1.6133662742005692,8065828.214144454,200242.5969077232
2019-07-04 00:00:00 UTC,1.4521027175861638,7388804.026812452,443086.3519496878
2019-07-05 00:00:00 UTC,1.4214806278175545,7350475.645701625,86672.78541454267
2019-07-06 00:00:00 UTC,1.3047545755581158,6842382.346182231,90159.03032808368
2019-07-07 00:00:00 UTC,1.26622406564711,6736569.149587326,227681.51420619697
2019-07-08 00:00:00 UTC,1.257399887721402,6722574.972721773,365902.19197462284
2019-07-09 00:00:00 UTC,1.29152119986365,6968354.705348961,590301.5052673927
2019-07-10 00:00:00 UTC,1.2850653875357507,6995865.768535275,698933.5223699099
2019-07-11 00:00:00 UTC,1.500010813940573,8256022.079600854,1060631.6895070062
2019-07-12 00:00:00 UTC,1.3563327544836652,7549658.740478125,215404.37612301446
2019-07-13 00:00:00 UTC,1.478977444653589,8423993.273713157,973502.3453468587
2019-07-14 00:00:00 UTC,1.4476602933385538,8380158.212072519,158500.0635895187
2019-07-15 00:00:00 UTC,1.5632367713193918,9203714.565470858,1104114.8565613634
2019-07-16 00:00:00 UTC,1.5261277000608438,9150474.546303786,597105.6080807706
2019-07-17 00:00:00 UTC,1.3651696834037652,8330299.316780424,859065.9475396703
2019-07-18 00:00:00 UTC,1.5470737239209655,9522469.93105061,1383346.4211130028
2019-07-19 00:00:00 UTC,1.431530700641655,8955970.29042653,982341.0985993934
2019-07-20 00:00:00 UTC,1.3878785484076113,8858145.760669254,816959.8435973708
2019-07-21 00:00:00 UTC,1.2991061118494602,8382836.555986165,901279.7309103382
2019-07-22 00:00:00 UTC,1.3085013232409302,8503617.359222902,669573.3108708179
2019-07-23 00:00:00 UTC,1.242661960460841,8142526.143243418,620003.1384331448
2019-07-24 00:00:00 UTC,1.2181494191861713,8014437.233649736,458384.5116005974
2019-07-25 00:00:00 UTC,1.168013248803784,7797896.912141335,300356.32347632735
2019-07-26 00:00:00 UTC,1.1673316847040223,7810668.420254225,194109.70250232588
2019-07-27 00:00:00 UTC,1.1410801807386939,7644053.101068096,115103.06585216374
2019-07-28 00:00:00 UTC,1.0943024128978756,7370661.394281009,359053.41440310277
2019-07-29 00:00:00 UTC,0.9993561123998015,6727934.986113213,127475.48887292785
2019-07-30 00:00:00 UTC,0.9625116823503916,6506422.049080981,352276.5573062832
2019-07-31 00:00:00 UTC,0.9360113659956276,6325088.842142459,549711.3770141029
2019-08-01 00:00:00 UTC,0.7594761637806,5097497.679006751,289170.06791476253
2019-08-02 00:00:00 UTC,0.8344463015540494,5533393.003388478,268520.16108593845
2019-08-03 00:00:00 UTC,0.8465456237776233,5611785.667620941,216660.86104462808
2019-08-04 00:00:00 UTC,0.8562094054212122,5629108.163830795,221698.39129502032
2019-08-05 00:00:00 UTC,0.9599579403532607,6307326.994947219,399557.27846807754
2019-08-06 00:00:00 UTC,0.9813861362450946,6444005.025631021,263105.02203734335
2019-08-07 00:00:00 UTC,0.9633043020402928,6326722.092935694,68697.04407794878
2019-08-08 00:00:00 UTC,0.9040336173927163,5929424.988764065,210675.32350136098
2019-08-09 00:00:00 UTC,0.8187738302329908,5350589.82311348,269695.8297276233
2019-08-10 00:00:00 UTC,0.813479678153132,5270656.0664923955,302743.61916884274
2019-08-11 00:00:00 UTC,0.8092072593314055,5219065.438377081,292631.1169145832
2019-08-12 00:00:00 UTC,0.8012073179561158,5124613.466345966,243731.45039625114
2019-08-13 00:00:00 UTC,0.7973502219127577,5053086.668128636,248195.60821835886
2019-08-14 00:00:00 UTC,0.7399978949123427,4669914.803010027,190075.66079184206
2019-08-15 00:00:00 UTC,0.6934756290317259,4338886.856158313,206713.0505666979
2019-08-16 00:00:00 UTC,0.7006663395598336,4337265.395664547,152908.3303737986
2019-08-17 00:00:00 UTC,0.6962609816307749,4276090.457850842,257869.93353579578
2019-08-18 00:00:00 UTC,0.6822359877756393,4140784.981006845,292752.17523933994
2019-08-19 00:00:00 UTC,0.6901660622481258,4135688.9060477116,255871.8739373942
2019-08-20 00:00:00 UTC,0.6933662608614426,4126011.231810203,301881.9471317804
2019-08-21 00:00:00 UTC,0.6816494764190445,4012726.6580893556,235306.3611627496
2019-08-22 00:00:00 UTC,0.6778913785914015,3954410.730322803,244482.98978102763
2019-08-23 00:00:00 UTC,0.6279786418951507,3621178.999417742,294868.34672339784
2019-08-24 00:00:00 UTC,0.6088341824468942,3473434.055402209,197750.29148294037
2019-08-25 00:00:00 UTC,0.6072844006537792,3416179.1269499953,207158.71011175786
2019-08-26 00:00:00 UTC,0.6039959603249,3356322.739540831,198652.22026249114
2019-08-27 00:00:00 UTC,0.585671264928238,3231230.734496102,146422.35944114247
2019-08-28 00:00:00 UTC,0.580560537134609,3159050.7237212425,28342.287126116593
2019-08-29 00:00:00 UTC,0.5584495475576133,2992669.370424792,23264.629649958493
2019-08-30 00:00:00 UTC,0.5108989889389495,2694984.3831214076,37949.06891556087
2019-08-31 00:00:00 UTC,0.5118580821572986,2655030.502954156,16849.90792064933
2019-09-01 00:00:00 UTC,0.4857664322196644,2478308.239019025,25721.677168970728
2019-09-02 00:00:00 UTC,0.4831452652370094,2422606.588291955,9591.118564725222
